No. Orden de Trabajo,Fecha,Codigo de Equipo,Descripción de Equipo,Breve Descripción,Tipo Orden de Trabajo,Tiempo Muerto / Downtime,Abierto / Historico,Estado,Horas reales,Usuario Editor,Est. Horas,No. Tarea
7937,2025-02-16 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7938,45704,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7939,45704,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7926,2025-02-15 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7927,45703,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7928,45703,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.3,ROLANDOM97,0.3,ISP-1D-00
7902,2025-02-14 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7903,45702,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7904,45702,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7889,2025-02-13 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7890,45701,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7891,45701,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
7874,2025-02-12 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.35,DANIELMU95,0.3,ISP-1D-00
7875,45700,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.35,DANIELMU95,0.3,ISP-1D-00
7876,45700,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.4,DANIELMU95,0.3,ISP-1D-00
7856,2025-02-11 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.3,DANIELMU95,0.3,ISP-1D-00
7857,45699,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.35,DANIELMU95,0.3,ISP-1D-00
7858,45699,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.3,DANIELMU95,0.3,ISP-1D-00
7783,2025-02-10 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección mensual de compresores de NH3,PM,0,H,Terminado,0.61,DIEGONTI99,0.61,ISP-1M-22
7784,45698,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección mensual de compresores de NH3,PM,0,H,Terminado,0.61,DIEGONTI99,0.61,ISP-1M-22
7785,45698,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección mensual de compresores de NH3,PM,0,H,Terminado,0.61,DIEGONTI99,0.61,ISP-1M-22
7841,2025-02-10 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección semanal de seguridad y operación de compresores de NH3,PM,0,H,Terminado,0.59,FELIPERI99,0.59,ISP-1S-00
7842,45698,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección semanal de seguridad y operación de compresores de NH3,PM,0,H,Terminado,0.59,FELIPERI99,0.59,ISP-1S-00
7843,45698,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección semanal de seguridad y operación de compresores de NH3,PM,0,H,Terminado,0.59,FELIPERI99,0.59,ISP-1S-00
