Hora,Compresor 2 - RCS: Presión de Descarga,Compresor 2 - RCS: Presión de Succion,Compresor 2 - RCS: Temperatura de Aceite,Compresor 2 - RCS: Temperatura de Descarga,Compresor C-2: Demanda (kW),Unnamed: 6,Unnamed: 7
2025-01-01 13:25:00 GMT-3,9.76,1.25,41.46,61.46,90.8824,,
2025-01-01 13:30:00 GMT-3,9.46,1.242,41.14,60.82,89.2106,,
2025-01-01 13:35:00 GMT-3,9.5,1.238,40.92,60.74,89.2126,,
2025-01-01 13:40:00 GMT-3,9.5,1.234,40.88,60.9,89.3982,,
2025-01-01 13:45:00 GMT-3,9.54,1.234,40.98,60.96,89.6308,,
2025-01-01 13:50:00 GMT-3,9.42,1.23,41.0,60.82,88.847,,
2025-01-01 13:55:00 GMT-3,9.28,1.288,40.68,60.54,88.7644,,
2025-01-01 14:00:00 GMT-3,9.44,1.234,40.8,60.84,89.1424,,
2025-01-01 14:05:00 GMT-3,9.54,1.212,41.14,61.12,89.5738,,
2025-01-01 14:10:00 GMT-3,9.6,1.212,41.3,61.32,90.0936,,
2025-01-01 14:15:00 GMT-3,9.68,1.22,41.46,61.4,90.538,,
2025-01-01 14:20:00 GMT-3,9.7,1.222,41.52,61.48,90.8094,,
2025-01-01 14:25:00 GMT-3,9.7,1.222,41.52,61.52,91.0166,,
2025-01-01 14:30:00 GMT-3,9.74,1.22,41.54,61.6,91.2034,,
2025-01-01 14:35:00 GMT-3,9.76,1.242,41.58,61.62,91.379,,
2025-01-01 14:40:00 GMT-3,9.96,1.284,41.68,61.9,93.4018,,
2025-01-01 14:45:00 GMT-3,10.1,1.29,41.7,62.06,94.4822,,
2025-01-01 14:50:00 GMT-3,10.18,1.274,41.66,62.1,94.6306,,
2025-01-01 14:55:00 GMT-3,10.2,1.27,41.68,62.1,94.9578,,
2025-01-01 15:00:00 GMT-3,10.2,1.26,41.64,62.1,95.0836,,
2025-01-01 15:05:00 GMT-3,10.24,1.26,41.6,62.1,95.2452,,
2025-01-01 15:10:00 GMT-3,10.3,1.258,41.52,62.1,95.3442,,
2025-01-01 15:15:00 GMT-3,10.3,1.25,41.5,62.1,95.3026,,
2025-01-01 15:20:00 GMT-3,10.3,1.25,41.5,62.1,95.3994,,
2025-01-01 15:25:00 GMT-3,10.3,1.244,41.44,62.1,95.4622,,
2025-01-01 15:30:00 GMT-3,10.3,1.248,41.4,62.1,95.7244,,
2025-01-01 15:35:00 GMT-3,10.3,1.244,41.3,62.12,95.8472,,
2025-01-01 15:40:00 GMT-3,10.3,1.24,41.3,62.06,95.5828,,
2025-01-01 15:45:00 GMT-3,10.3,1.24,41.3,62.1,95.7506,,
2025-01-01 15:50:00 GMT-3,10.3,1.238,41.4,62.14,95.9436,,
2025-01-01 15:55:00 GMT-3,10.3,1.238,41.36,62.1,95.9232,,
2025-01-01 16:00:00 GMT-3,10.3,1.24,41.26,62.1,96.0288,,
2025-01-01 16:05:00 GMT-3,10.32,1.246,41.3,62.04,96.1538,,
2025-01-01 16:10:00 GMT-3,10.4,1.24,41.38,62.16,96.5888,,
2025-01-01 16:15:00 GMT-3,10.4,1.24,41.4,62.22,96.8608,,
2025-01-01 16:20:00 GMT-3,10.4,1.238,41.38,62.22,97.0156,,
2025-01-01 16:25:00 GMT-3,10.4,1.238,41.32,62.2,97.0222,,
2025-01-01 16:30:00 GMT-3,10.34,1.222,41.14,62.08,96.711,,
2025-01-01 16:35:00 GMT-3,10.3,1.182,41.04,62.0,96.1288,,
2025-01-01 16:40:00 GMT-3,10.3,1.156,41.0,61.94,95.7336,,
2025-01-01 16:45:00 GMT-3,10.22,1.132,41.02,61.86,95.353,,
2025-01-01 16:50:00 GMT-3,10.18,1.11,40.98,61.76,94.8006,,
2025-01-01 16:55:00 GMT-3,10.1,1.08,40.88,61.68,94.3532,,
2025-01-01 17:00:00 GMT-3,10.08,1.016,40.8,61.52,93.3084,,
2025-01-01 17:05:00 GMT-3,10.0,0.964,40.74,61.32,91.9462,,
2025-01-01 17:10:00 GMT-3,10.0,0.994,40.7,61.32,92.1878,,
2025-01-01 17:15:00 GMT-3,10.04,1.12,40.7,61.54,94.103,,
2025-01-01 17:20:00 GMT-3,10.18,1.218,40.8,61.82,96.5934,,
2025-01-01 17:25:00 GMT-3,10.22,1.25,40.92,62.0,97.6144,,
2025-01-01 17:30:00 GMT-3,10.24,1.25,40.98,62.08,97.8126,,
2025-01-01 17:35:00 GMT-3,10.2,1.254,40.88,62.1,97.9604,,
2025-01-01 17:40:00 GMT-3,10.28,1.246,40.82,62.1,98.013,,
2025-01-01 17:45:00 GMT-3,10.3,1.238,40.88,62.18,98.1096,,
2025-01-01 17:50:00 GMT-3,10.3,1.238,41.0,62.26,98.3366,,
2025-01-01 17:55:00 GMT-3,10.3,1.24,41.0,62.3,98.5852,,
2025-01-01 18:00:00 GMT-3,10.3,1.24,40.98,62.3,98.7328,,
2025-01-01 18:05:00 GMT-3,10.3,1.224,40.96,62.3,98.5054,,
2025-01-01 18:10:00 GMT-3,10.3,1.226,40.94,62.3,98.6418,,
2025-01-01 18:15:00 GMT-3,10.26,1.228,40.86,62.22,98.437,,
2025-01-01 18:20:00 GMT-3,9.76,1.242,40.6,61.58,96.1186,,
2025-01-01 18:25:00 GMT-3,9.7,1.31,40.2,61.4,96.3812,,
2025-01-01 18:30:00 GMT-3,9.7,1.344,40.0,61.5,96.9664,,
2025-01-01 18:35:00 GMT-3,9.7,1.348,40.0,61.6,97.185,,
2025-01-01 18:40:00 GMT-3,9.62,1.33,40.06,61.58,96.9718,,
2025-01-01 18:45:00 GMT-3,9.3,1.316,39.88,61.18,94.73,,
2025-01-01 18:50:00 GMT-3,9.28,1.258,39.84,61.16,93.9292,,
2025-01-01 18:55:00 GMT-3,9.48,1.24,40.1,61.56,95.1292,,
2025-01-01 19:00:00 GMT-3,9.6,1.212,40.34,61.7,95.4416,,
2025-01-01 19:05:00 GMT-3,9.6,1.192,40.42,61.76,95.4076,,
2025-01-01 19:10:00 GMT-3,9.6,1.178,40.46,61.78,95.3726,,
2025-01-01 19:15:00 GMT-3,9.6,1.158,40.5,61.72,95.096,,
2025-01-01 19:20:00 GMT-3,9.6,1.14,40.48,61.68,94.7314,,
2025-01-01 19:25:00 GMT-3,9.6,1.146,40.46,61.62,94.6678,,
2025-01-01 19:30:00 GMT-3,9.7,1.214,40.46,61.92,96.511,,
2025-01-01 19:35:00 GMT-3,9.96,1.282,40.58,62.4,99.1626,,
2025-01-01 19:40:00 GMT-3,10.0,1.264,40.62,62.5,99.64,,
2025-01-01 19:45:00 GMT-3,10.1,1.254,40.68,62.52,99.6608,,
2025-01-01 19:50:00 GMT-3,10.1,1.246,40.68,62.52,99.7992,,
2025-01-01 19:55:00 GMT-3,10.1,1.238,40.6,62.56,99.9776,,
2025-01-01 20:00:00 GMT-3,10.1,1.23,40.68,62.66,100.4304,,
2025-01-01 20:05:00 GMT-3,10.02,1.216,40.62,62.58,100.0734,,
2025-01-01 20:10:00 GMT-3,9.6,1.218,40.3,61.96,97.3748,,
2025-01-01 20:15:00 GMT-3,9.5,1.26,39.92,61.68,97.0774,,
2025-01-01 20:20:00 GMT-3,9.5,1.286,39.82,61.7,97.533,,
2025-01-01 20:25:00 GMT-3,9.48,1.288,39.72,61.8,97.7122,,
2025-01-01 20:30:00 GMT-3,9.4,1.28,39.72,61.8,97.7156,,
2025-01-01 20:35:00 GMT-3,9.4,1.282,39.68,61.78,97.625,,
2025-01-01 20:40:00 GMT-3,9.5,1.236,39.72,61.76,97.5392,,
2025-01-01 20:45:00 GMT-3,9.7,1.178,40.04,62.16,98.2176,,
